index,rate_num,score,season_name,season_num,series_name
55770,29803,8.2,进击的巨人,1,进击的巨人
118335,20674,8.1,进击的巨人 第二季,2,进击的巨人
217300,19625,8.3,进击的巨人 第三季,3,进击的巨人
263750,22054,8.7,进击的巨人 第三季 Part.2,4,进击的巨人
285666,14346,7.7,进击的巨人 最终季,5,进击的巨人
331752,12333,7.7,进击的巨人 最终季 Part.2,6,进击的巨人
376739,10008,7.7,进击的巨人 最终季 完结篇 前篇,7,进击的巨人
415779,10059,7.6,进击的巨人 最终季 完结篇 后篇,8,进击的巨人
29648,24976,7.4,中二病也要谈恋爱！,1,中二病也要谈恋爱！
72942,15520,7.0,中二病也要谈恋爱！恋,2,中二病也要谈恋爱！
215425,9009,7.5,电影 中二病也要谈恋爱！ -Take On Me-,3,中二病也要谈恋爱！
23686,24379,7.4,刀剑神域,1,刀剑神域
92382,13977,6.9,刀剑神域 第二季,2,刀剑神域
148099,10740,6.8,刀剑神域 序列之争,3,刀剑神域
225604,9336,6.2,刀剑神域 爱丽丝篇,4,刀剑神域
279457,8045,6.1,刀剑神域 爱丽丝篇 异界战争,5,刀剑神域
292238,7133,4.8,刀剑神域 爱丽丝篇 异界战争 -终章-,6,刀剑神域
54433,23178,7.5,我的青春恋爱物语果然有问题,1,我的青春恋爱物语果然有问题
102134,18344,7.4,我的青春恋爱物语果然有问题 续,2,我的青春恋爱物语果然有问题
277954,11464,6.7,我的青春恋爱物语果然有问题 完,3,我的青春恋爱物语果然有问题
329906,22182,7.2,间谍过家家,1,间谍过家家
373267,13941,7.3,间谍过家家 第2部分,2,间谍过家家
411427,10192,7.2,间谍过家家 第二季,3,间谍过家家
498378,4729,7.3,间谍过家家 第三季,4,间谍过家家
179949,21629,7.4,小林家的龙女仆,1,小林家的龙女仆
274234,13532,7.5,小林家的龙女仆S,2,小林家的龙女仆
514353,2858,6.6,小林家的龙女仆 怕寂寞的龙,3,小林家的龙女仆
115908,21331,8.3,吹响吧！上低音号,1,吹响吧！上低音号
152091,17146,8.5,吹响吧！上低音号 第二季,2,吹响吧！上低音号
216371,19179,8.6,莉兹与青鸟,3,吹响吧！上低音号
386809,19925,7.4,【我推的孩子】,1,【我推的孩子】
443428,11562,7.2,【我推的孩子】 第二季,2,【我推的孩子】
517057,1917,7.0,【我推的孩子】 第三季,3,【我推的孩子】
100403,19135,7.2,路人女主的养成方法,1,路人女主的养成方法
132734,14544,7.3,路人女主的养成方法 ♭,2,路人女主的养成方法
231497,11012,7.7,路人女主的养成方法 Fine,3,路人女主的养成方法
43558,17829,7.8,JOJO的奇妙冒险,1,JOJO的奇妙冒险
85631,16908,8.0,JOJO的奇妙冒险 星尘斗士,2,JOJO的奇妙冒险
113292,17048,8.2,JOJO的奇妙冒险 星尘斗士 埃及篇,3,JOJO的奇妙冒险
150490,14709,7.8,JOJO的奇妙冒险 不灭钻石,4,JOJO的奇妙冒险
235128,14885,8.0,JOJO的奇妙冒险 黄金之风,5,JOJO的奇妙冒险
332261,9588,7.2,JOJO的奇妙冒险 石之海,6,JOJO的奇妙冒险
375913,6274,7.0,JOJO的奇妙冒险 石之海 第2部分,7,JOJO的奇妙冒险
395782,5771,7.1,JOJO的奇妙冒险 石之海 第3部分,8,JOJO的奇妙冒险
158316,16227,7.8,灵能百分百,1,灵能百分百
240760,14502,8.1,灵能百分百 第二季,2,灵能百分百
353605,11181,8.2,灵能百分百 第三季,3,灵能百分百
772,15606,8.0,福音战士新剧场版：序,1,福音战士新剧场版：序
3302,17355,8.4,福音战士新剧场版：破,2,福音战士新剧场版：序
22505,12015,7.4,福音战士新剧场版：Q,3,福音战士新剧场版：序
29883,13875,8.4,新・福音战士剧场版：终,4,福音战士新剧场版：序
181354,15316,7.7,齐木楠雄的灾难,1,齐木楠雄的灾难
204027,10882,7.7,齐木楠雄的灾难 第二季,2,齐木楠雄的灾难
